Month,Group,Commodity,Unit,Quantity_2025,Rupees_2025,Dollar_2025,Quantity_2024,Rupees_2024,Dollars_2024
2025-07,Petroleum  & Coal Group,26.Petroleum Crude, M.T,0,0,0,0,0,0
2025-07,Petroleum  & Coal Group,27.Petroleum Products(Excl Top Naphta), M.T,82760.25072999999,10674.864548365702,37821.80274591578,115451,16162,58056
2025-07,Petroleum  & Coal Group,28.Petroleum Top Naphta, M.T,18326.882,3112.7622371582,10981.697784999824,8638,1567,5630
2025-07,Petroleum  & Coal Group,29.Solid Fuels (Coal), M.T,0,0,0,0,0,0
2025-07,Other Manufactures Group,"30.Carpets, Rugs & Mats",TH.SQM,215.71350300000014,1314.5278546616003,4630.455889352635,268,1620,5818
2025-07,Other Manufactures Group,31.Sports Goods,   -,-,11048.369266372987,38900.72807568241,-,8173,29358
2025-07,Other Manufactures Group,A)  Footballs,TH.DOZ,444,7304.730295705487,25720.045735022497,332,4949,17775
2025-07,Other Manufactures Group,B)  Gloves,TH.DOZ,82,1428.0733550073,5028.826444019942,67,1282,4606
2025-07,Other Manufactures Group,C)  Others,   -,-,2315.5656156602,8151.855896639972,-,1942,6977
2025-07,Other Manufactures Group,32.Leather Tanned, M.T,754.6050786000001,2921.4424666549003,10283.017530513405,836,3276,11766
2025-07,Other Manufactures Group,33.Leather Manufactures,    -,,15141.783243450707,53307.25036910689,-,11147,40043
2025-07,Other Manufactures Group,A) Leather Garments, TH.DOZ,201,7170.194496778706,25243.060163607068,184,5762,20699
2025-07,Other Manufactures Group,B) Leather Gloves, TH.DOZ,1144,7622.509404121903,26834.597152350005,627,5148,18492
2025-07,Other Manufactures Group,C) Other Leather Manufactures,    -,-,349.07934255009997,1229.5930531498202,-,237,852
2025-07,Other Manufactures Group,34.Footwear,TH.Pairs,1811.703,4997.3815492332005,17588.497048800516,1135,3283,11793
2025-07,Other Manufactures Group,A) Leather Footwear,TH.Pairs,793.026,4189.4127477927,14744.273864982808,587,2631,9452
2025-07,Other Manufactures Group,B) Canvas Footwear,TH.Pairs,17.837,100.0113675295,352.19782724976153,8,45,161
2025-07,Other Manufactures Group,C) Other Footwear,TH.Pairs,1000.84,707.9574339110001,2492.0253565679463,540,607,2180
2025-07,Other Manufactures Group,35.Surgical Goods & Medical Instruments,    -,-,10882.155607310633,38312.49487487456,-,8646,31058
2025-07,Other Manufactures Group,36.Cutlery,    -,-,1223.5001224692,4306.615380399918,-,1168,4196
2025-07,Other Manufactures Group,37.Onyx Manufactured,   M.T,189.7,126.60798053100002,445.65275860022894,106,65,232
2025-07,Other Manufactures Group,38.Chemicals And Pharm.Products,    -,,29133.160773402706,102581.62979411741,-,37581,134992
2025-07,Other Manufactures Group,A) Fertilizer Manufactured,   M.T,0,0,0,0,0,0
2025-07,Other Manufactures Group,B) Plastic Materials,   M.T,21904.1572831,7110.814602874099,25047.87976572095,34999,11765,42259
2025-07,Other Manufactures Group,C) Pharmaceutical Products,   M.T,6640.8959718999995,9556.141170327202,33637.776937296876,7908,9457,33971
2025-07,Other Manufactures Group,D) Other Chemicals,    -,-,12466.205000201404,43895.973091099586,-,16359,58762
2025-07,Other Manufactures Group,39.Engineering Goods,    -,,10657.429358079698,37523.90629503272,-,7827,28114
2025-07,Other Manufactures Group,A) Electric Fans,TH.NOS,202.385,1021.6929490912,3597.866308931496,134,589,2116
2025-07,Other Manufactures Group,B) Transport Equipment,    -,-,102.19796743559999,359.96084390012174,-,580,2084
2025-07,Other Manufactures Group,C) Other Electrical Machinery,    -,-,2662.2015458197006,9370.811113967839,-,1070,3843
2025-07,Other Manufactures Group,D) Machinery Specialized For,,,,,,,
2025-07,Particular Industries Group,E) Auto Parts & Accessories,    -,-,569.8671203473999,2007.129780299961,-,481,1729
2025-07,Particular Industries Group,F) Rubber Tyres & Tubes,TH.NOS,2188.326,2683.8069409039,9449.980369201829,1465,1699,6103
2025-07,Particular Industries Group,G) Other Machinery,    -,-,2392.8136074351996,8421.98487760356,-,1954,7017
2025-07,Particular Industries Group,40.Gems,K.G,110.93047399999998,145.24812671709992,510.85396757924724,121,223,801
2025-07,Particular Industries Group,41.Jewellary,    -,-,4.7672079958,16.784687160824564,-,717,2576
2025-07,Particular Industries Group,42.Furniture,TH.NOS,112.479,222.02397195319998,781.6940310675267,53,132,473
2025-07,Particular Industries Group,43.Molasses,   M.T,1933.485,50.72352977919999,178.52690797676266,1583,46,167
2025-07,Particular Industries Group,44.Handicrafts,    -,-,0,0,-,0,0
2025-07,Particular Industries Group,45.Cement,   M.T,877086.379,9910.66527941482,34924.325601533325,403260,4034,14492
2025-07,Particular Industries Group,46.Guar And Guar Products,   M.T,1167.2825,647.1679710965999,2277.6638298548514,1643,815,2929
Month,Group,Commodity,Unit,Quantity_2025,Rupees_2025,Dollar_2025,Quantity_2024,Rupees_2024,Dollars_2024
2025-08,Food Group,1.Rice, M.T,252237.45340680002,41388.268126687275,146278.18954654993,346742,72120,258922
2025-08,Food Group,A) Basmati, M.T,49240.0353023,14574.33940070228,51534.2200562138,95303,27876,100079
